name,label,url,location
zapcables,Zap Cables,https://zapcables.com/,USA
jujucables,JUJU Cables,https://www.jujucables.com/,Australia
woodcables,Wood/Cables,https://woodcables.com/,USA
dreamcables,Dream Cables,https://www.dream-cables.com/,USA
mechcables,Mechcables,https://docs.google.com/forms/d/e/1FAIpQLSdOHnSvHm3217gs4d4BiPH7OOv2Ki8lHN-BgatxVGK76chQ7w/viewform,USA
winnja,Winnja,https://www.winnja.com/,"Texas, USA"
clarkkable,Clark Kable,https://clarkkable.com/,Germany
mimiccables,Mimic Cables,https://www.mimic-cables.com/,USA
summitcables,Summit Cables,https://docs.google.com/forms/d/e/1FAIpQLScuu3xz-DcRyDlPHUsZB4gOGa9OdQlIf22b8dJHM9YKLoZjvQ/closedform,USA
zuescables,Zeus Cables,https://docs.google.com/forms/d/e/1FAIpQLSfEHhehFNeRSkRsFBeAy5ijqGkCYOedThge-k5Mb3CYpDPLPQ/viewform,EU
warlockcables,Warlock Cables,http://warlockcables.com/,USA ONLY